link,title,post_day,street,old_address,locality,region,listing_id,direction,listing_type,property_type,legal_status,num_floors,num_bedrooms,road_width_m,width_m,length_m,price_vnd,area_m2,dining_room_bin,kitchen_bin,terrace_bin,car_parking_bin,owner_listing_bin,locality_square,locality_population_density,lat,lon,matched_address
https://alonhadat.com.vn/ban-nha-rieng-hem-xe-hoi-4-tang-moi-dep-lung-linh-p14-binh-thanh-18269430.html,Bán nhà riêng hẻm xe hơi 4 tầng mới đẹp lung linh P14 Bình Thạnh,2026-05-23,đường lê quang định,"Đường Lê Quang Định, Phường 14, Quận Bình Thạnh, Hồ Chí Minh (cũ)",phường bình thạnh,hồ chí minh,18269430,unknown,can_ban,nha_trong_hem,unknown,3,3,4.0,4.1,12.5,8900000000.0,50.0,0,0,0,0,0,"3,32",38.042,10.8045369,106.6985299,"đường lê quang định, phường bình thạnh, hồ chí minh, Vietnam"
https://alonhadat.com.vn/sieu-vi-tri-toa-nha-ham-10-tang-le-thanh-ton-q1-dt-4-4x21m-93m2-110-ty-250tr-thang-17891053.html,SIÊU VỊ TRÍ TÒA NHÀ HẦM 10 TẦNG LÊ THÁNH TÔN-Q1.DT:4.4X21M. 93M2. 110 TỶ 250tr/tháng,2026-05-27,đường lê thánh tôn,"Đường Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Hồ Chí Minh (cũ)",phường sài gòn,hồ chí minh,17891053,unknown,can_ban,nha_mat_tien,unknown,10,15,30.0,,,110000000000.0,92.0,0,0,0,0,0,"3,04",15.468,10.7803088,106.7054885,"Đường Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Hồ Chí Minh, Vietnam"
https://alonhadat.com.vn/ban-biet-thu-khu-compound-284-nguyen-trong-tuyen-p10-phu-nhuan-7x25m-3-lau-sieu-dep-16693368.html,"Bán Biệt Thự Khu Compound 284 Nguyễn Trọng Tuyển p10 Phú Nhuận, 7x25m, 3 lầu siêu đẹp",2026-05-27,đường nguyễn trọng tuyển,"Đường Nguyễn Trọng Tuyển, Phường 10, Quận Phú Nhuận, Hồ Chí Minh (cũ)",phường phú nhuận,hồ chí minh,16693368,unknown,can_ban,nha_trong_hem,unknown,3,5,16.0,,,45000000000.0,165.0,0,0,0,0,0,"1,46",46.863,10.7978431,106.674643,"đường nguyễn trọng tuyển, phường phú nhuận, hồ chí minh, Vietnam"
https://alonhadat.com.vn/nha-moi-4-tang-o-to-dau-trong-nha-gan-song-sai-gon-van-phuc-city-khu-dan-cu-vip-17500753.html,Khu đồng bộ chuẩn sống - giá trị đầu tư cao ven sông Sài Gòn - Giá ưu đãi trong tháng,2026-05-27,quốc lộ 13,"Quốc Lộ 13, Phường Hiệp Bình Phước, Thành phố Thủ Đức, Hồ Chí Minh (cũ)",phường hiệp bình,hồ chí minh,17500753,unknown,can_ban,nha_mat_tien,unknown,4,4,6.0,4.0,15.0,7900000000.0,52.0,1,1,1,1,0,"16,01",13.469,10.8457937,106.718353,"Quốc Lộ 13, Phường Hiệp Bình Phước, Thành phố Thủ Đức, Hồ Chí Minh, Vietnam"
https://alonhadat.com.vn/hot-ban-nha-hem-vip-p-ben-thanh-nha-3-tang-thang-may-dt-100-m2-gia-dau-tu-chi-280tr-m2-18393459.html,"HOT BÁN NHÀ HẺM VIP P. Bến Thành. Nhà 3 tầng, thang máy, DT 100 m2,giá đầu tư chỉ 260tr m2",2026-05-27,đường nguyễn trãi,"Đường Nguyễn Trãi, Phường Bến Thành, Quận 1, Hồ Chí Minh (cũ)",phường bến thành,hồ chí minh,18393459,unknown,can_ban,nha_trong_hem,so_hong_so_do,3,4,6.0,4.2,25.0,26500000000.0,100.0,1,1,1,1,0,"1,85",38.809,10.7689856,106.6899664,"đường nguyễn trãi, phường bến thành, hồ chí minh, Vietnam"
https://alonhadat.com.vn/sieu-pham-ban-nha-3-mat-tien-duong-nguyen-trai-q1-4-2x24m-2-lau-thang-may-gia-28-5-ty-18610641.html,"siêu phẩm bán nhà 3 mặt tiền đường nguyễn trãi (Q1), 4.2x24m, 2 lầu thang máy, giá 26.5 tỷ",2026-05-27,đường nguyễn trãi,"Đường Nguyễn Trãi, Phường Bến Thành, Quận 1, Hồ Chí Minh (cũ)",phường bến thành,hồ chí minh,18610641,unknown,can_ban,nha_trong_hem,so_hong_so_do,3,5,10.0,4.2,25.0,26500000000.0,100.0,1,1,1,1,0,"1,85",38.809,10.7689856,106.6899664,"đường nguyễn trãi, phường bến thành, hồ chí minh, Vietnam"
https://alonhadat.com.vn/-sieu-vip-khan-hiem-mt-vo-van-tan-gan-cao-thang-4-5x18m-5l-moi-tm-giam-49-ty-18666280.html,🔥Siêu VIP Khan Hiếm - MT Võ Văn Tần Gần Cao Thắng 4.6x18m 5L Mới TM Giảm 49 Tỷ,2026-05-27,đường võ văn tần,"Đường Võ Văn Tần, Phường 5, Quận 3, Hồ Chí Minh (cũ)",phường bàn cờ,hồ chí minh,18666280,dong_nam,can_ban,nha_mat_tien,so_hong_so_do,5,5,25.0,4.5,18.0,48000000000.0,78.0,0,0,0,0,0,"0,99",68.299,10.7717404,106.6863799,"đường võ văn tần, phường bàn cờ, hồ chí minh, Vietnam"
https://alonhadat.com.vn/giam-sau-1-ty-cho-khach-mua-ngay-ban-nha-bach-dang-binh-thanh-chi-6-ty-260-64m2-shr--18712771.html,"GIẢM SÂU 1 TỶ CHO KHÁCH MUA NGAY-BÁN NHÀ BẠCH ĐẰNG, BÌNH THẠNH. CHỈ 6 TỶ 260/64M2, SHR!!!",2026-05-27,đường bạch đằng,"Đường Bạch Đằng, Phường 24, Quận Bình Thạnh, Hồ Chí Minh (cũ)",phường bình thạnh,hồ chí minh,18712771,unknown,can_ban,nha_mat_tien,so_hong_so_do,5,5,5.0,4.0,16.0,6260000000.0,64.0,0,0,0,0,0,"3,32",38.042,10.8039334,106.704862,"đường bạch đằng, phường bình thạnh, hồ chí minh, Vietnam"
https://alonhadat.com.vn/toi-can-ban-nha-duong-so-45-quan-7-gia-4-33ty-66m2-5-5x12m-so-san-18643265.html,"TÔI CẦN BÁN NHÀ NGUYỄN THỊ THẬP,QUẬN 7-GIÁ:4.33TỶ/66M2 (5.5x12M) SỔ SẴN",2026-05-27,đường nguyễn thị thập,"Đường Nguyễn Thị Thập, Phường Tân Hưng, Quận 7, Hồ Chí Minh (cũ)",phường tân hưng,hồ chí minh,18643265,unknown,can_ban,nha_mat_tien,so_hong_so_do,3,4,6.0,5.5,12.0,4330000000.0,66.0,0,0,0,0,0,"8,54",17.995,10.7407425,106.6985001,"đường nguyễn thị thập, phường tân hưng, hồ chí minh, Vietnam"
