Column,Missing,Type,Mean,Std,Min,Max
listing_id,38,float64,17797795.03780526,1565894.5660695333,2550086.0,18914930.0
num_floors,288,float64,3.5389589653520677,2.0913372895530995,1.0,52.0
num_bedrooms,229,float64,6.553118792212952,10.125102481517752,1.0,220.0
road_width_m,61,float64,13.62365717870305,12.921001503311858,1.0,335.0
width_m,1282,float64,6.692349115504682,6.914711748319685,1.0,425.0
length_m,1686,float64,19.99787113587347,30.16286254813689,1.0,2525.0
price_vnd,38,float64,37028541938.04642,82422452440.35356,48.0,2100000000000.0
area_m2,38,float64,167.13650594865373,414.7101275081404,6.0,14142.0
locality_population_density,48,float64,32.27846161679461,18.378811754336752,1.166,799.0
lat,38,float64,10.797205527355981,0.055353686207422315,10.3446699,11.1724952
lon,38,float64,106.67671007874921,0.04576225032717675,106.4346877,107.1729931
distance_to_center_km,38,float64,6.772100662512101,5.35906763171135,0.172067881268568,63.5786531229442
nearest_school_km,0,float64,0.3102550851688057,0.29873529467926974,0.0,4.91318987281558
school_count_3km,0,int64,104.45606368034962,59.366432218209056,0.0,226.0
nearest_hospital_km,15,float64,1.0075640865112245,0.8608717696058752,0.0,4.9956955118855
hospital_count_5km,0,int64,43.36702044638677,30.610068057973137,0.0,92.0
nearest_marketplace_km,11,float64,0.652719169826299,0.5272854210075697,0.0003966580084786,4.49466002543602
marketplace_count_3km,0,int64,20.596066801935383,15.770873756606298,0.0,61.0
nearest_supermarket_km,189,float64,0.6565521738408214,0.6013540378398559,0.0,4.93449692566374
supermarket_count_3km,0,int64,39.49211799594194,33.0650823757278,0.0,117.0
nearest_mall_km,611,float64,1.7261437664836514,1.0919740530005075,0.0347033,5.11984
mall_count_3km,0,int64,6.044794755735913,5.905485505697579,0.0,21.0
nearest_bus_stop_km,2,float64,0.18573691302651976,0.18517995379934193,0.0,3.27207015299794
bus_stop_count_1km,0,int64,39.773997190572814,22.661853997821595,0.0,118.0
nearest_metro_km,5605,float64,2.62991965174284,1.311698915532324,0.0799193973883992,5.12278937323301
metro_count_5km,0,int64,2.5138910566567816,2.6491418717815542,0.0,10.0
